run,test_num,chunk_size,nodes,chunks,extract_time,chunk_time,total_time
test_outputs_20250527_153233,1,1,1490,212,100.58,1351.12,1451.7
test_outputs_20250527_153233,2,5,1490,87,100.41,1431.22,1531.63
test_outputs_20250527_153233,3,9,1490,90,99.98,1304.79,1404.78
test_outputs_20250527_153233,4,13,1490,113,100.1,1448.02,1548.12
test_outputs_20250527_153233,5,17,1490,88,100.24,1122.84,1223.07
test_outputs_20250527_153233,6,21,1490,71,100.61,935.31,1035.92
test_outputs_20250527_153233,7,25,1490,60,100.17,830.43,930.6
test_outputs_20250527_153233,8,29,1490,52,100.92,739.82,840.73
test_outputs_20250527_153233,9,33,1490,46,99.42,584.93,684.34
test_outputs_20250527_153233,10,37,1490,41,100.02,569.84,669.87
test_outputs_20250527_153233,11,41,1490,37,100.12,503.94,604.06
test_outputs_20250527_153233,12,45,1490,34,100.3,486.24,586.54
test_outputs_20250527_153233,13,49,1490,31,101.2,399.7,500.9
test_outputs_20250527_153233,14,53,1490,29,99.59,415.2,514.78
test_outputs_20250527_153233,15,57,1490,27,100.83,356.94,457.77
test_outputs_20250527_153233,16,61,1490,25,99.9,296.2,396.1
test_outputs_20250527_153233,17,65,1490,23,100.99,371.45,472.44
test_outputs_20250527_153233,18,69,1490,22,100.54,307.68,408.22
test_outputs_20250527_153233,19,73,1490,21,101.55,258.83,360.38
test_outputs_20250527_153233,20,77,1490,20,101.64,232.21,333.85
test_outputs_20250527_153233,21,81,1490,19,99.85,241.85,341.71
test_outputs_20250527_153233,22,85,1490,18,100.3,209.36,309.66
test_outputs_20250527_153233,23,89,1490,17,101.11,218.07,319.17
test_outputs_20250527_153233,24,93,1490,17,100.7,200.41,301.11
test_outputs_20250527_153233,25,97,1490,16,99.71,192.39,292.1
